,id,im_1,im_2,im_1_local,im_2_local,cap_1,cap_2,category_1,category_2,BiomedCLIP_sim,DINO_sim,question,option_A,option_B,im_1_correct,im_2_correct,AI_question,AI_option_A,AI_option_B
10,10011,train/radiology/images/ROCO_26019.jpg,validation/radiology/images/ROCO_08708.jpg,20157,20208, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus., Midsagittal T1-weighted brain MRI from a 28-year-old woman affected by ataxia with oculomotor apraxia type 4This section displays moderate cerebellar atrophy but no evidence of brainstem atrophy.,"['Cerebral', 'Head and Neck', 'Spinal']",['Cerebral'],0.9300693,0.6041675,What is the condition of the fourth ventricle in the MRI?,Effaced,Not effaced,A,B,What is the condition of the fourth ventricle in the MRI?,Effaced,Not effaced
11,10012,train/radiology/images/ROCO_26019.jpg,validation/radiology/images/ROCO_33649.jpg,20157,20196, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus., Sagittal T1-weighted magnetic resonance imaging demonstrating erosion of the inferior aspect of the clivus consistent with rheumatoid pannus.,"['Cerebral', 'Head and Neck', 'Spinal']","['Cerebral', 'Head and Neck']",0.9159955,0.6051496,What is the level of tonsillar herniation visible in the MRI?,To the level of C3,No tonsillar herniation visible,A,B,What is the level of tonsillar herniation visible in the MRI?,To the level of C3,No tonsillar herniation visible
12,10013,train/radiology/images/ROCO_26019.jpg,train/radiology/images/ROCO_35856.jpg,20157,20193, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus., Initial MRI (pre-contrast)T1 sagittal pre-contrast MRI scan showing mass effect of the lesion on the foramen of Monro.,"['Cerebral', 'Head and Neck', 'Spinal']",['Cerebral'],0.9289739,0.6515353,What is the primary abnormality observed in the sagittal T1 weighted MRI of the brain?,Mass effect of a lesion on the foramen of Monro,Tonsillar herniation to the level of C3 with effacement of the fourth ventricle and triventricular hydrocephalus,B,A,What is the primary abnormality observed in the sagittal T1 weighted MRI of the brain?,Mass effect of a lesion on the foramen of Monro,Tonsillar herniation to the level of C3 with effacement of the fourth ventricle and triventricular hydrocephalus
13,10014,train/radiology/images/ROCO_22947.jpg,train/radiology/images/ROCO_26019.jpg,20176,20157, Head MRI: two pathological lesions of sellar area: one dumbbell-shaped mass located intrasellar and suprasellar region (10 mm × 15 mm in size) adhered to the hypothalamus and optic chiasm; the second one in the stalk of pituitary gland with 3 mm dimension, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus.,"['Cerebral', 'Head and Neck']","['Cerebral', 'Head and Neck', 'Spinal']",0.916761,0.6103976,What is the location of the pathological lesion(s) seen in the MRI?,Sellar area,Cerebellar tonsils,A,B,What is the location of the pathological lesion(s) seen in the MRI?,Sellar area,Tonsillar herniation
14,10015,train/radiology/images/ROCO_26019.jpg,train/radiology/images/ROCO_34389.jpg,20157,20170, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus., Platybasia in a 9-year-old child with no symptoms. The clivus–axis angle (of Wackenheim) is about 100°. No CVJ compression is present,"['Cerebral', 'Head and Neck', 'Spinal']","['Cerebral', 'Head and Neck']",0.9030347,0.6402566,What level of tonsillar herniation is observed?,To the level of C3,No tonsillar herniation,A,B,What level of tonsillar herniation is observed?,To the level of C3,No tonsillar herniation
15,10016,train/radiology/images/ROCO_79809.jpg,validation/radiology/images/ROCO_56150.jpg,20172,20220, MRI at the onset of neurological symptoms. Axial T2-weighted fluid-attenuated inversion recovery (FLAIR) shows patchy high-signal intensity PML lesions in the right cerebellar peduncle.," Cerebellitis caused by infection with the Epstein-Barr virus. Axial slice in a fluid-attenuated inversion recovery sequence, showing diffuse hyperintensity in the cerebellum, especially in the right hemisphere.","['Cerebral', 'Head and Neck']",['Cerebral'],0.9304475,0.5396522,What is the nature of the hyperintensity observed in the cerebellum?,Patchy high-signal intensity,Diffuse hyperintensity,A,B,What is the nature of the hyperintensity observed in the cerebellum?,Patchy high-signal intensity,Diffuse hyperintensity
16,10017,train/radiology/images/ROCO_12111.jpg,train/radiology/images/ROCO_28314.jpg,20121,20164, Initial MRI obtained at the time of diagnosisInitial T1 sagittal MRI again showing a sellar mass with a small cystic component in the superior aspect., A girl with global developmental delay who presented with bilateral breast enlargement. T1WI Sagittal MRI of the brain (post-gadolinium dynamic protocol) shows an intrasellar lesion representing pituitary microadenoma (arrow).,"['Cerebral', 'Head and Neck']","['Cerebral', 'Head and Neck']",0.9058903,0.6625431,What type of lesion is visible in the MRI?,Intrasellar pituitary microadenoma,Sellar mass with a cystic component,B,A,What type of lesion is visible in the MRI?,Intrasellar pituitary microadenoma,Sellar mass with a cystic component
17,10018,test/radiology/images/ROCO_49681.jpg,train/radiology/images/ROCO_10207.jpg,20034,20147, Postoperative left vertebral angiograms demonstrating complete recanalization of the left posterior cerebral artery., Angiography of the Left Anterior Circulation of the Brain—Following ThrombolysisAntero-posterior view demonstrates a renewed flow in the left internal carotid artery and the left hemisphere.,"['Cerebral', 'Vascular']","['Cerebral', 'Vascular']",0.9072485,0.6658916,Which vascular structure is visible on this image?,Left posterior cerebral artery,Left internal carotid artery,A,B,Which vascular structure shows renewed flow after a medical intervention?,Left posterior cerebral artery,Left internal carotid artery
18,10019,test/radiology/images/ROCO_56284.jpg,train/radiology/images/ROCO_79809.jpg,20155,20172," Brain magnetic resonance images of fluid attenuation inversion recovery sequence obtained in a 42-year-old female with systemic lupus erythematosus on immunosuppression, pulsed with steroids, demonstrates marked vasogenic edema involving the brainstem", MRI at the onset of neurological symptoms. Axial T2-weighted fluid-attenuated inversion recovery (FLAIR) shows patchy high-signal intensity PML lesions in the right cerebellar peduncle.,['Cerebral'],"['Cerebral', 'Head and Neck']",0.9054838,0.5509397,What area of the brain is primarily affected by the abnormality?,Brainstem,Right cerebellar peduncle,A,B,What area of the brain is primarily affected by the abnormality?,Brainstem,Right cerebellar peduncle
19,10020,train/radiology/images/ROCO_46426.jpg,train/radiology/images/ROCO_79809.jpg,20008,20172, Magnetic resonance imaging T2-weighted fluid attenuated inversion recovery on arrival showed high signal intensity of brain stem involving a ventral part of cerebellum, MRI at the onset of neurological symptoms. Axial T2-weighted fluid-attenuated inversion recovery (FLAIR) shows patchy high-signal intensity PML lesions in the right cerebellar peduncle.,['Cerebral'],"['Cerebral', 'Head and Neck']",0.9072702,0.5323175,Which part of the brain shows high signal intensity on the T2-weighted FLAIR MRI?,Right cerebellar peduncle,Brain stem,B,A,Which part of the brain shows high signal intensity on the T2-weighted FLAIR MRI?,Right cerebellar peduncle,Brain stem
20,10021,train/radiology/images/ROCO_79809.jpg,validation/radiology/images/ROCO_14863.jpg,20172,20209, MRI at the onset of neurological symptoms. Axial T2-weighted fluid-attenuated inversion recovery (FLAIR) shows patchy high-signal intensity PML lesions in the right cerebellar peduncle., T2 and flair sequence hyperintense lobulated well-encapsulated lesion was seen in the superomedial aspect of the right orbit involving both intra- and extra-conal space,"['Cerebral', 'Head and Neck']","['Cerebral', 'Head and Neck']",0.917708,0.6511418,What anatomical region is primarily affected by the lesion?,Superomedial aspect of the right orbit,Right cerebellar peduncle,B,A,What anatomical region is primarily affected by the lesion?,Superomedial aspect of the right orbit,Right cerebellar peduncle
21,10022,train/radiology/images/ROCO_62193.jpg,train/radiology/images/ROCO_79809.jpg,20195,20172," MRI of brain T1 axial + gadolinium with resolution of previously visualized enhancing lesion, after anti-TB treatment.", MRI at the onset of neurological symptoms. Axial T2-weighted fluid-attenuated inversion recovery (FLAIR) shows patchy high-signal intensity PML lesions in the right cerebellar peduncle.,['Cerebral'],"['Cerebral', 'Head and Neck']",0.9137772,0.6498562,What are the signal characteristics of the lesions on MRI?,Solidly enhancing lesion,Patchy high-signal intensity PML lesions,A,B,What type of lesions are visible in the MRI scan?,Enhancing lesion,Patchy high-signal intensity PML lesions
22,10023,train/radiology/images/ROCO_17682.jpg,train/radiology/images/ROCO_24334.jpg,20045,20073," MR examination – sagittal plane, T2-weighted image – anterior subluxation of C1 vertebra relative to C2 with severe spinal canal stenosis causing severe cord compression.",  Sagittal T-2 weight magnetic resonance imaging of the craniocervical junction demonstrating severe spinal cord compression secondary to C1–C2 instability.,['Spinal'],['Spinal'],0.9218636,0.6315788,What is the primary cause of severe spinal cord compression in this image?,C1–C2 instability,Anterior subluxation of C1 vertebra relative to C2,B,A,What is the primary cause of severe spinal cord compression in this image?,C1–C2 instability,Anterior subluxation of C1 vertebra relative to C2
23,10024,train/radiology/images/ROCO_17682.jpg,train/radiology/images/ROCO_21373.jpg,20045,20153," MR examination – sagittal plane, T2-weighted image – anterior subluxation of C1 vertebra relative to C2 with severe spinal canal stenosis causing severe cord compression.", Rathke’s cleft cyst. Sagittal T2-weighted image shows low signal within the cyst which is typically located between the anterior and posterior pituitary lobes.,['Spinal'],['Head and Neck'],0.9084824,0.5709915,What is the abnormality visualized on this image?,Rathke’s cleft cyst,Anterior subluxation of the C1 vertebra relative to C2,B,A,What type of vertebral misalignment or cyst is visible in this T2-weighted sagittal image?,Rathke’s cleft cyst,Anterior subluxation of the C1 vertebra relative to C2
24,10025,train/radiology/images/ROCO_17682.jpg,train/radiology/images/ROCO_50808.jpg,20045,20032," MR examination – sagittal plane, T2-weighted image – anterior subluxation of C1 vertebra relative to C2 with severe spinal canal stenosis causing severe cord compression.", T2-weighed sagittal magnetic resonance image. Shows massive thickening of her skull base due to fibrous dysplasia and a pituitary adenoma.,['Spinal'],"['Head and Neck', 'Musculoskeletal']",0.9193022,0.6589737,What abnormality is observed in this image?,Anterior subluxation of C1 vertebra relative to C2,Massive thickening of the skull base due to fibrous dysplasia,A,B,What abnormality is causing severe spinal canal stenosis in the image?,Anterior subluxation of C1 vertebra relative to C2,Massive thickening of the skull base due to fibrous dysplasia
25,10026,train/radiology/images/ROCO_04892.jpg,train/radiology/images/ROCO_31119.jpg,20029,20161, A T2-weighted sagittal image of the cervical spine of a 42-year-old man with low back pain incidentally revealed atlantoaxial dislocation.," T2-weighted magnetic resonance image reveals a horizontal line of high signal intensity in the cervical spinal cord at the C5/6 disc space level which represents spinal cord transection. Severe cord swelling around the injured level and edema of the C5, C6 vertebral bodies are also noted.",['Spinal'],['Spinal'],0.9060745,0.6877745,What is the main abnormality related to the cervical spine shown in the T2-weighted MRI?,Atlantoaxial subluxation,Spinal cord transection,A,B,What is the main abnormality related to the cervical spine shown in the T2-weighted MRI?,Atlantoaxial dislocation,Spinal cord transection
26,10027,train/radiology/images/ROCO_09352.jpg,train/radiology/images/ROCO_31119.jpg,20150,20161, Hyperintense well-defined mass at the C2-C3 level of cervical spinal cord with wide dural attachment on T1W images of the MRI scan," T2-weighted magnetic resonance image reveals a horizontal line of high signal intensity in the cervical spinal cord at the C5/6 disc space level which represents spinal cord transection. Severe cord swelling around the injured level and edema of the C5, C6 vertebral bodies are also noted.",['Spinal'],['Spinal'],0.9086003,0.5127875,What is the nature of the high signal intensity abnormality observed in the cervical spinal cord?,Horizontal line representing spinal cord transection,Well-defined mass with wide dural attachment,B,A,What is the nature of the high signal intensity abnormality observed in the cervical spinal cord?,Horizontal line representing spinal cord transection,Well-defined mass with wide dural attachment
27,10028,train/radiology/images/ROCO_31119.jpg,validation/radiology/images/ROCO_39258.jpg,20161,20038," T2-weighted magnetic resonance image reveals a horizontal line of high signal intensity in the cervical spinal cord at the C5/6 disc space level which represents spinal cord transection. Severe cord swelling around the injured level and edema of the C5, C6 vertebral bodies are also noted.", MRI of cervical spine shows continuity of the vertebral body of C2 and C3. There is fusion of the vertebral bodies of C4 and C5. Marked disc narrowing and spondylotic changes at C3-4 (level of Cloward procedure).,['Spinal'],['Spinal'],0.9053814,0.4910451,What is observed at the C5/6 level?,Spinal cord transection,Fusion of vertebral bodies,A,B,What is observed at the C5/6 disc space level?,Spinal cord transection,Fusion of vertebral bodies
28,10029,train/radiology/images/ROCO_40628.jpg,train/radiology/images/ROCO_66160.jpg,20131,20003, Sagittal C-spine CT scan obtained as part of the initial ATLS survey demonstrating an occiput C2 distractive injury.,  Six months' follow-up postreduction sagittal reconstruction computed tomography through right C1–C2 facet. Note solid bony ankylosis of occiput to C2. Lower cervical facets appear normal.,['Spinal'],"['Musculoskeletal', 'Spinal']",0.9034379,0.5012815,What is the pathology observed at the C1–C2 facet on the sagittal reconstruction computed tomography?,Solid bony ankylosis,Distractive injury,B,A,What is the condition of the C1–C2 facet visible in the sagittal reconstruction computed tomography?,Solid bony ankylosis,Distractive injury
29,10030,test/radiology/images/ROCO_20327.jpg,train/radiology/images/ROCO_26019.jpg,20002,20157, A preoperative T1 sagittal spin echo MRI of the brain shows a Chiari I malformation with tonsillar descent beyond the level of the C1 lamina and syringomyelia and syringobulbia with dilation throughout the cervical spinal cord and no evidence of hydrocephalus, Mid-sagittal T1 weighted MRI of the brain shows tonsillar herniation to the level of C3. There is effacement of the fourth ventricle and Triventricular hydrocephalus.,"['Cerebral', 'Spinal']","['Cerebral', 'Head and Neck', 'Spinal']",0.9016049,0.5832605,What is the lowest level of tonsillar descent observed in the image?,To the level of C3,Beyond the level of the C1 lamina,B,A,What is the lowest level of tonsillar descent observed in the image?,To the level of C3,Beyond the level of the C1 lamina
30,10031,train/radiology/images/ROCO_06181.jpg,train/radiology/images/ROCO_29740.jpg,20012,20216," A magnetic resonance imaging showing retro-odontoid pannus compressing the spinal cord, that appears as an area of mixed intensity on sagittal T2-weighted image (arrow).", A sagittal STIR-weighted MR image of the spine. A hyperintense area pointed by an arrow represents edema of the spinal cord.,['Spinal'],['Spinal'],0.9071836,0.5085693,What is the visible abnormality pointed out by the arrow in the MR image?,Retro-odontoid pannus compressing the spinal cord,Edema of the spinal cord,A,B,What is the visible characteristic pointed out by the arrow in the MR image?,Retro-odontoid pannus compressing the spinal cord,Edema of the spinal cord
31,10032,train/radiology/images/ROCO_34261.jpg,train/radiology/images/ROCO_53813.jpg,20004,20136," Sagittal T2W image shows collapse of C5 with preservation of adjacent disc spaces. Soft tissue mass extends posteriorly into the anterior epidural spaces, compressing on the spinal cord."," Marked improvement of previous intramedullary high signal intensity at cervical spinal cord, since last MRI.",['Spinal'],['Spinal'],0.914944,0.6413754,Is there visible vertebral body height loss?,Yes,No,A,B,Is there a collapse of the vertebral body visible?,Yes,No
32,10033,train/radiology/images/ROCO_53813.jpg,validation/radiology/images/ROCO_39258.jpg,20136,20038," Marked improvement of previous intramedullary high signal intensity at cervical spinal cord, since last MRI.", MRI of cervical spine shows continuity of the vertebral body of C2 and C3. There is fusion of the vertebral bodies of C4 and C5. Marked disc narrowing and spondylotic changes at C3-4 (level of Cloward procedure).,['Spinal'],['Spinal'],0.9064069,0.4973145,What is the condition of the vertebral bodies of C4 and C5?,Separate and distinct,Fused,A,B,What is the condition of the vertebral bodies of C4 and C5?,Separate and distinct,Fused
33,10034,train/radiology/images/ROCO_46814.jpg,train/radiology/images/ROCO_66856.jpg,20016,20188, Parsagittal (off to the side) T2-weighted. MRI showing sequestrated discs below L4-L5 interspace. This parasagittal T2-weighted MRI (CSF spinal fluid turns white/hyperintense) shows a sequestrated fragment of disc that has migrated inferior to the L4-L5 disc space," Sagittal T2-weighted MR showing marked L4-L5 spinal stenosis. On sagittal T2 MR (the spinal fluid is white or hyperintense) image, there is multilevel compression of the thecal sac (dural sac containing nerve roots of the lumbar spinal canal; cauda equina). This results in scalloping anteriorly (arthritic changes of the discs in the front) and posterior compression (hypertrophy/ossification of the yellow ligament and laminae from the back). Also note a minimal grade I slip at the L4-L5 level (spondylolisthesis) contributing to the narrowing",['Spinal'],['Spinal'],0.9178079,0.4483816,What is the abnormality affecting the L4-L5 level?,Sequestrated disc fragment,Spinal stenosis,A,B,What is the condition primarily affecting the L4-L5 interspace?,Sequestrated disc fragment,Spinal stenosis
34,10035,train/radiology/images/ROCO_37683.jpg,train/radiology/images/ROCO_46814.jpg,20160,20016, Sagittal T2 WI shows a disc herniation at L5-S1 with compression of the adjacent nerve roots. Note the isthmus connecting the herniated disc to the parent disc is narrower in this case when compared to case 1. These findings are consistent with an extrusion., Parsagittal (off to the side) T2-weighted. MRI showing sequestrated discs below L4-L5 interspace. This parasagittal T2-weighted MRI (CSF spinal fluid turns white/hyperintense) shows a sequestrated fragment of disc that has migrated inferior to the L4-L5 disc space,['Spinal'],['Spinal'],0.918841,0.5230368,What type of disc herniation is shown?,Extrusion,Sequestration,A,B,What type of disc herniation is shown?,Extrusion,Sequestration
35,10036,train/radiology/images/ROCO_46814.jpg,train/radiology/images/ROCO_78993.jpg,20016,20154, Parsagittal (off to the side) T2-weighted. MRI showing sequestrated discs below L4-L5 interspace. This parasagittal T2-weighted MRI (CSF spinal fluid turns white/hyperintense) shows a sequestrated fragment of disc that has migrated inferior to the L4-L5 disc space, Sagittal T2WI. Anterolisthesis of L4 on L5 of approximately 25%. This has caused unveiling of the L4-L5 intervertebral disc which demonstrates a generalized bulge. There is buckling of the ligamentum flavum at this level. The spinal canal is congenitally narrow.,['Spinal'],['Spinal'],0.9333129,0.5287114,What is the abnormality observed at the L4-L5 disc?,Sequestrated disc fragment,Generalized bulge,A,B,What is the condition of the L4-L5 intervertebral disc?,Sequestrated disc fragment,Generalized bulge
36,10037,train/radiology/images/ROCO_14355.jpg,train/radiology/images/ROCO_46338.jpg,20049,20025,  Preoperative sagittal T2-weighted magnetic resonance imaging demonstrating a compression fracture of the L1 vertebral body and impingement of the conus medullaris and nerve roots of the cauda equina.," Mid-sagittal T2-weighted MR image (TR 2200, TE 70) shows a uni-segmental degenerated disc at L5-S1 with a high-intensity zone in the posterior annulus (arrow).",['Spinal'],['Spinal'],0.9010435,0.5841185,What spinal condition is demonstrated in the image?,Compression fracture with impingement,Degenerated disc with high-intensity zone,A,B,What spinal condition is demonstrated in the image?,Compression fracture with spinal cord impingement,Degenerated disc with high-intensity zone
37,10038,train/radiology/images/ROCO_00519.jpg,train/radiology/images/ROCO_46338.jpg,20163,20025,  Magnetic resonance imaging scan 6 weeks after the first operation showing the intraspinal mass lesion.," Mid-sagittal T2-weighted MR image (TR 2200, TE 70) shows a uni-segmental degenerated disc at L5-S1 with a high-intensity zone in the posterior annulus (arrow).",['Spinal'],['Spinal'],0.9164395,0.6769518,What type of spinal abnormality is visible in the scan?,Intraspinal mass lesion,Degenerated disc with high-intensity zone,A,B,What type of spinal abnormality is visible in the scan?,Intraspinal mass lesion,Degenerated disc with high-intensity zone
38,10039,train/radiology/images/ROCO_46338.jpg,validation/radiology/images/ROCO_80980.jpg,20025,20022," Mid-sagittal T2-weighted MR image (TR 2200, TE 70) shows a uni-segmental degenerated disc at L5-S1 with a high-intensity zone in the posterior annulus (arrow).", On the MRI image tethering of the spinal cord was seen at L5-S1 level. Additonally a herniation of an intervertebral disc is seen (asymptomatic and left untouched at surgery).,['Spinal'],['Spinal'],0.9073991,0.5768182,What is observed at the L5-S1 level?,Tethering of the spinal cord.,A high-intensity zone in the posterior annulus.,B,A,What is observed at the L5-S1 level?,Tethering of the spinal cord.,A high-intensity zone in the posterior annulus.
39,10040,train/radiology/images/ROCO_46338.jpg,train/radiology/images/ROCO_70598.jpg,20025,20091," Mid-sagittal T2-weighted MR image (TR 2200, TE 70) shows a uni-segmental degenerated disc at L5-S1 with a high-intensity zone in the posterior annulus (arrow)."," Magnetic resonance imaging scan (T2-weighted sequence, sagittal view) of the lumbosacral spine showing a well-defined cystic lesion along the traversing left L4 nerve root suggestive of perineural cyst",['Spinal'],['Spinal'],0.9107951,0.5206141,What type of abnormality is observed in the spine?,Degenerated disc with a high-intensity zone,Well-defined cystic lesion along the nerve root,A,B,What type of abnormality is observed in the spine?,Degenerated disc with a high-intensity zone,Well-defined cystic lesion
40,10041,train/radiology/images/ROCO_46338.jpg,train/radiology/images/ROCO_58846.jpg,20025,20060," Mid-sagittal T2-weighted MR image (TR 2200, TE 70) shows a uni-segmental degenerated disc at L5-S1 with a high-intensity zone in the posterior annulus (arrow).", MRI showing disc degeneration involving L5-S1 level with no evidence of any significant disc herniation,['Spinal'],['Spinal'],0.9272029,0.5606989,Does the MR image show a high-intensity zone in the posterior annulus?,Yes,No,A,B,Does the MR image show a high-intensity zone in the posterior annulus?,Yes,No
41,10042,train/radiology/images/ROCO_06069.jpg,train/radiology/images/ROCO_50748.jpg,20000,20181," MRI of the cervical spine, sagittal T1 TSE CM image. Effusion, thickened and enhancing synovium of the C1/C2 articulation, bone marrow edema of the odontoid process"," Sagittal T1-weighted scan of cervical and dorsolumbar spine after intravenous Gadolinium, three days following surgery. There has been resolution of the epidural abscess in the cervical and upper dorsal spine, with reduction in its extent in the lower dorsal and lumbar spine. Note enhancement of C5/6 intervertebral disc",['Spinal'],['Spinal'],0.9281188,0.500053,What is noted regarding the condition of the C5/6 intervertebral disc?,It shows enhancement.,It shows no enhancement.,B,A,What is noted regarding the condition of the C5/6 intervertebral disc?,It shows enhancement.,It shows no enhancement.
